Color Name,R,G,B
Selective Yellow,255,186,0
Sepia,112,66,20
Shadow,138,121,93
Shamrock Green,0,158,96
Shocking Pink,252,15,192
Sienna,136,45,23
Silver,192,192,192
Sinopia,203,65,11
Sky Blue,135,206,235
Sky Magenta,207,113,175
Slate Blue,106,90,205
Slate Gray,112,128,144
Slimy Green,41,150,23
Smashed Pumpkin,255,109,0
Smoke,115,130,118
Smokey Topaz,147,61,65
Smoky Black,16,12,8
Snow,255,250,250
Soil Brown,145,85,56
Solid Pink,137,56,67
Sonic Silver,117,117,117
Space Cadet,29,41,81
Spanish Blue,0,112,184
Spanish Carmine,209,0,71
Spanish Gray,152,152,152
Spanish Green,0,145,80
Spanish Orange,232,97,0
Spanish Pink,247,191,190
Spanish Red,230,0,38
Spanish Sky Blue,0,255,255
Spanish Violet,76,40,130
Spanish Viridian,0,127,92
Spiro Disco Ball,15,192,252
Spring Bud,167,252,0
Spring Green,0,255,127
Star Command Blue,0,123,184
Steel Blue,70,130,180
Stil de grain yellow,250,218,94
Straw,228,217,111
Strawberry,252,90,141
Sunglow,255,204,51
Sunray,227,171,87
Sunset,250,214,165
Sunset Orange,253,94,83
Super Pink,207,107,169
Sweet Brown,168,55,49
Tan,210,180,140
Tangelo,249,77,0
Tangerine,242,133,0
Tangerine Yellow,255,204,0
Tango Pink,228,113,122
Taupe Gray,139,133,137
Tea Green,208,240,192
Tea Rose,244,194,194
Teal,0,128,128
Teal Blue,54,117,136
Teal Green,0,130,127
Telemag
